Unnamed: 0,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,Result,Certified,agegroup,EducationLevel,placed
141805,1,1,1,3,3,133,256,3,90,64,438,4,7,1,4,2,3,2,2
26484,2,1,1,3,13,34,35,13,34,34,36,10,25,6,1,1,3,3,2
35725,2,1,1,3,1,14,255,1,14,123,1199,9,130,1,1,1,3,5,2
7683,1,1,1,1,21,99,316,21,392,361,2590,5,22,1,1,1,2,3,1
110248,1,1,3,1,24,128,816,23,124,121,6780,5,22,1,4,2,2,3,2
93797,1,1,3,3,3,4,2033,3,4,4,6636,1,1,1,1,1,3,2,1
15351,2,1,1,4,15,314,200,15,317,101,4827,24,67,1,1,1,5,2,1
124344,2,1,1,3,5,43,61,5,44,43,125,6,41,1,1,1,2,3,1
114160,2,1,1,3,5,136,554,5,133,128,1233,3,9,1,1,1,2,5,2
134263,2,1,3,3,24,371,19,23,368,213,700,3,45,1,1,1,3,5,1
25721,1,1,3,3,7,523,74,7,625,267,3527,17,72,1,4,2,3,5,2
80216,2,1,1,3,8,150,145,8,148,143,193,3,9,1,1,1,3,2,2
39433,2,1,3,5,13,480,59,13,473,425,1299,2,2,1,1,1,4,3,1
148052,2,1,3,3,5,213,1549,5,210,203,4826,3,45,1,1,1,3,4,1
36793,2,1,1,3,23,298,602,22,297,281,5758,11,30,1,4,2,5,5,2
36179,1,1,1,3,25,117,303,24,114,111,1122,10,50,3,1,1,7,2,2
111179,2,1,3,3,5,118,158,5,115,240,5709,3,9,1,1,1,3,3,1
109174,1,1,1,3,1,190,860,1,188,182,2657,1,1,1,1,1,1,3,1
89107,1,1,4,3,5,58,2289,5,58,59,7448,6,41,1,1,1,6,3,2
102312,1,1,1,3,1,182,255,1,14,123,1203,9,130,1,1,1,3,3,1
1236,1,1,3,3,12,97,132,12,57,23,171,5,5,1,3,2,3,3,1
115696,2,1,3,1,13,189,59,13,187,384,930,14,27,1,3,2,3,3,2
117087,2,1,2,3,14,325,47,14,326,46,552,9,35,12,1,1,4,2,1
32707,1,1,1,5,30,466,275,30,303,286,487,1,1,1,1,1,6,2,1
56469,1,1,3,1,14,464,1339,14,602,296,4113,9,21,1,1,1,4,3,1
32677,1,1,1,3,5,262,567,5,265,256,1311,1,1,1,1,1,2,2,1
7519,2,1,1,4,9,518,242,9,75,331,2701,3,19,7,1,1,4,5,2
19849,2,1,3,5,11,295,105,11,295,279,1101,20,109,1,1,1,3,3,2
59380,2,1,1,5,17,235,21,17,237,227,2296,12,17,5,1,1,2,3,1
72714,1,1,1,3,7,13,332,7,13,13,634,1,8,1,1,1,2,2,1
120596,1,1,1,3,8,587,1127,8,275,60,3334,3,9,2,1,1,3,3,2
64820,1,1,3,3,21,99,87,21,378,352,740,5,66,1,1,1,4,5,1
85755,1,1,3,1,4,53,5,4,462,416,2462,1,24,1,3,2,3,2,2
87379,1,1,3,3,2,563,300,2,369,336,1739,3,38,1,1,1,2,2,1
4467,2,1,1,3,8,245,11,8,247,237,832,3,3,1,1,1,4,5,1
117684,1,1,1,1,14,51,698,14,52,52,2729,1,8,1,1,1,5,3,2
14302,2,1,4,3,1,114,151,1,111,108,203,3,9,1,1,1,5,5,1
137189,2,1,3,3,5,345,1340,5,44,43,4117,4,7,1,1,1,2,2,2
16529,2,1,1,1,5,435,11,5,424,390,964,4,7,1,3,2,2,3,2
87638,2,1,3,3,5,271,61,5,219,43,702,5,48,1,1,1,3,3,1
52575,1,1,3,3,8,74,11,8,72,74,470,9,35,1,3,2,3,3,2
51229,1,1,3,1,5,7,948,5,7,7,2848,5,22,1,1,1,2,3,1
8196,2,1,3,4,27,305,502,27,308,290,1072,2,15,1,4,2,3,3,2
8925,1,1,3,1,14,200,403,14,196,189,791,5,42,1,2,2,3,3,2
12081,2,1,1,1,7,360,74,7,420,267,954,3,20,1,3,2,4,3,2
36468,2,1,3,3,21,130,142,21,127,325,1588,1,33,1,1,1,2,3,1
71536,1,1,3,5,11,412,135,11,408,376,1906,1,1,1,4,2,2,2,2
143472,1,1,4,3,9,250,19,9,252,241,2176,3,9,1,1,1,1,3,2
40511,2,1,4,3,8,206,208,8,203,196,2947,9,13,1,1,1,4,2,2
142332,1,1,1,3,9,415,437,9,411,380,884,5,5,1,1,1,3,3,2
122858,1,1,3,3,5,75,421,9,75,154,1671,1,24,1,1,1,7,3,2
123493,1,1,1,3,3,3,132,3,3,3,171,1,1,1,3,2,4,2,2
11782,1,1,3,3,14,51,54,14,52,52,56,2,15,1,1,1,3,3,1
93814,1,1,3,1,13,50,59,13,51,194,843,4,4,1,1,1,3,3,2
34964,2,1,1,2,15,263,67,15,260,251,141,7,62,1,1,1,2,2,2
28588,1,1,3,3,11,470,59,11,461,357,1125,2,2,1,1,1,2,3,1
4381,2,1,1,1,5,346,11,5,190,334,907,22,57,1,1,1,2,5,1
103119,1,1,1,3,1,72,255,1,198,72,2602,1,1,1,1,1,2,2,1
67852,1,1,1,3,16,524,34,16,517,94,1531,1,24,1,1,1,2,2,1
1340,2,1,3,3,9,453,73,9,448,409,1074,3,9,1,1,1,3,3,1
61791,2,1,3,1,25,615,297,18,485,434,1272,5,5,1,4,2,4,3,2
133332,2,1,3,4,15,96,432,15,93,429,5360,3,9,2,1,1,3,5,1
33456,1,1,3,4,4,456,140,4,505,486,3188,14,136,1,1,1,3,2,1
84784,1,1,3,1,16,625,34,16,624,81,3048,1,24,1,1,1,3,3,2
88129,2,1,1,1,9,24,38,9,42,24,574,5,48,1,1,1,2,3,2
44197,1,1,3,3,24,284,87,23,283,269,436,5,66,1,1,1,3,3,1
119156,2,1,1,3,1,182,593,1,64,123,1359,9,130,1,1,1,3,3,2
24997,2,1,4,7,15,195,61,15,192,186,265,24,67,1,3,2,5,2,2
122762,1,1,3,3,6,332,643,6,330,310,4386,1,24,1,1,1,4,2,2
121250,2,1,3,4,15,344,209,15,223,216,325,7,52,1,1,1,2,2,2
78084,1,1,4,3,4,37,1896,4,313,37,6181,3,9,5,3,2,2,4,2
5825,2,1,1,1,4,562,296,4,421,489,2988,14,27,1,2,2,3,4,2
10775,2,1,4,3,5,187,11,8,275,60,421,9,21,6,3,2,3,3,2
149699,2,1,4,3,1,190,212,1,188,182,2986,3,3,1,1,1,4,2,1
41970,2,1,1,3,16,100,89,16,96,94,2218,5,5,1,3,2,1,2,2
45081,1,1,1,3,3,6,297,3,6,6,5625,1,1,1,1,1,6,2,2
99465,1,1,2,1,8,91,65,8,89,88,241,12,17,1,4,2,2,2,2
105694,2,1,4,3,8,214,81,8,211,204,1845,15,82,1,1,1,3,2,1
46530,2,1,2,3,13,123,45,13,331,311,3920,4,7,5,1,1,4,3,1
92570,2,1,3,3,4,289,346,4,288,272,867,3,9,1,1,1,3,3,1
149279,1,1,3,4,22,155,196,25,153,147,3063,1,24,12,1,1,3,2,1
9306,2,1,1,3,23,481,221,23,146,306,1623,3,19,4,4,2,3,3,2
3831,1,1,1,3,18,395,150,18,524,364,1602,1,24,1,1,1,4,3,2
136228,1,1,4,3,24,148,2,23,146,141,3289,7,10,1,1,1,3,5,2
9748,1,1,1,3,6,140,337,6,137,133,3967,4,4,1,1,1,3,3,2
22415,1,1,1,5,17,166,1742,17,164,68,5587,1,1,1,1,1,3,2,1
8922,2,1,4,3,3,52,147,3,386,53,3776,4,4,1,3,2,3,3,2
122316,1,1,4,1,5,101,11,5,190,334,907,2,15,1,2,2,3,2,2
75315,2,1,3,3,22,138,136,25,135,130,4070,14,23,1,1,1,3,3,1
90062,1,1,4,3,28,217,232,15,277,216,428,25,73,1,4,2,4,5,2
125216,1,1,3,1,22,73,1,25,419,388,4466,7,62,1,3,2,3,3,2
7151,2,1,3,3,5,58,67,12,23,23,114,3,9,1,1,1,3,3,2
98828,1,1,3,1,12,172,59,12,158,48,399,22,91,1,1,1,2,3,2
7730,2,1,3,5,5,221,61,5,219,212,318,4,7,6,1,1,2,2,1
73790,2,1,1,5,5,56,341,5,103,191,2381,3,9,1,1,1,2,3,1
77592,1,1,1,3,5,409,219,5,405,373,4750,7,11,1,1,1,2,2,1
44063,2,1,3,1,12,48,45,12,171,48,957,1,24,12,4,2,5,2,2
97788,2,1,3,7,15,344,209,15,223,216,325,11,79,1,1,1,3,2,2
96775,1,1,2,2,32,364,142,32,363,338,682,1,24,1,1,1,3,2,2
65177,1,1,4,4,14,196,19,14,193,187,3687,3,9,6,1,1,3,3,2
91448,2,1,1,1,22,153,14,25,151,169,237,5,66,1,1,1,2,3,2
99846,1,1,4,3,6,140,561,6,137,133,1263,4,4,1,1,1,4,5,1
67430,2,1,1,3,11,244,59,11,246,408,1431,9,35,1,1,1,6,3,1
37949,1,1,3,3,5,7,1030,5,7,437,2923,17,31,12,1,1,4,3,1
25115,1,1,4,1,24,566,38,23,552,483,1865,4,4,1,3,2,3,5,2
125290,2,1,3,1,5,57,61,5,56,57,65,3,44,6,1,1,5,2,2
81883,2,1,3,4,30,258,1481,30,303,286,5198,26,119,1,1,1,7,2,1
54799,2,1,1,3,16,82,34,16,80,81,381,12,17,1,1,1,3,3,2
56111,2,1,1,1,8,339,49,8,269,258,423,9,76,1,4,2,2,5,2
101234,2,1,3,1,5,353,11,5,351,327,622,4,4,1,1,1,1,3,2
46573,2,1,1,3,8,315,434,8,209,157,875,21,53,1,1,1,3,3,1
40807,2,1,3,3,4,437,5,4,5,5,5,12,17,1,3,2,3,3,2
142282,1,1,3,1,24,371,87,23,320,302,529,6,41,1,2,2,3,2,2
51873,1,1,2,3,7,240,30,7,242,232,356,1,8,1,1,1,5,5,2
51127,2,1,1,3,5,157,11,5,321,303,531,28,63,1,3,2,4,3,2
114137,1,1,1,5,5,66,1356,5,65,490,4189,1,8,1,3,2,2,3,2
13546,2,1,3,3,21,491,99,21,483,432,1261,12,17,1,1,1,2,4,1
6472,2,1,4,1,5,333,45,5,332,312,575,9,35,1,1,1,3,3,1
26438,2,1,3,1,5,247,64,5,250,151,1423,12,17,1,1,1,2,3,1
117090,2,1,3,5,13,76,53,13,74,180,965,3,9,1,1,1,3,3,2
18596,2,1,4,3,7,571,30,7,561,232,1930,3,20,2,3,2,3,3,1
94347,2,1,3,4,23,160,38,22,314,298,1759,3,38,5,4,2,2,2,2
30019,1,1,3,3,3,9,9,3,9,9,6131,1,1,1,1,1,5,2,1
63310,1,1,3,4,15,344,263,15,223,216,1408,17,31,1,1,1,3,2,2
29566,2,1,1,1,5,221,61,5,219,212,318,5,48,1,1,1,3,3,1
137356,1,1,3,3,3,357,1272,3,357,35,3870,1,1,1,1,1,2,3,2
116354,2,1,1,4,5,159,219,5,156,151,2190,3,3,1,1,1,3,3,2
16820,1,1,3,3,3,6,68,3,6,6,440,1,1,1,1,1,2,2,1
145829,1,1,3,3,5,365,11,5,364,346,718,9,35,1,1,1,2,3,1
94236,1,1,1,7,6,25,87,6,25,50,491,1,24,1,1,1,3,2,1
138890,2,1,3,4,9,250,19,9,252,241,1335,3,9,1,1,1,2,5,2
125286,1,1,3,3,5,157,1693,5,155,150,6048,9,43,1,1,1,5,2,1
43537,2,1,3,3,8,276,90,8,269,258,481,10,18,1,1,1,4,3,1
18097,1,1,2,3,13,123,59,13,570,495,2154,4,4,1,1,1,4,3,1
11470,1,1,1,3,5,226,59,5,227,218,330,1,24,1,1,1,3,5,2
50858,1,1,3,5,18,423,692,18,125,118,1706,9,43,1,1,1,3,5,2
105578,2,1,1,5,11,108,59,11,105,102,925,4,4,1,1,1,2,2,2
1025,2,1,3,3,5,11,341,5,11,375,865,22,57,1,1,1,2,3,2
48668,2,1,1,3,5,193,142,5,367,342,682,12,17,1,1,1,2,2,1
4368,2,1,4,1,5,333,45,5,332,312,575,9,35,1,1,1,4,3,2
8674,2,1,3,3,13,122,1235,13,131,126,3718,4,4,1,1,1,2,5,1
30494,2,1,4,3,5,29,11,5,29,29,245,22,57,1,1,1,4,4,1
46389,2,1,3,3,5,365,341,5,190,334,6210,4,70,6,4,2,2,2,2
85341,1,1,3,1,8,59,11,8,59,60,1425,4,4,1,3,2,2,5,2
145454,2,1,1,4,5,126,1816,5,122,119,5891,4,4,1,1,1,2,5,1
84150,2,1,1,3,9,386,383,9,38,38,2509,3,20,1,1,1,3,5,1
99727,1,1,3,3,11,295,130,11,295,279,824,7,47,1,1,1,4,3,2
51430,2,1,1,1,15,223,232,19,296,93,3654,19,104,1,1,1,2,2,2
40460,1,1,3,3,5,409,105,11,181,175,1225,1,1,1,1,1,2,3,2
74751,1,1,1,1,9,24,38,9,42,24,574,2,2,1,1,1,3,3,2
146346,1,1,4,3,3,9,49,3,9,9,2635,9,35,1,3,2,3,3,1
89626,2,1,2,1,8,477,144,8,469,423,7520,5,22,1,1,1,2,3,1
119494,1,1,3,3,12,267,216,12,268,90,5622,7,10,9,1,1,7,2,2
5534,1,1,4,3,3,3,705,3,306,54,1742,1,8,2,1,1,3,2,2
6885,1,1,1,3,6,8,33,6,12,12,3294,4,7,1,1,1,3,3,2
82572,1,1,1,5,8,149,310,8,147,179,2053,1,1,1,1,1,4,2,2
5855,1,1,3,3,3,69,4,3,68,4,2998,4,4,1,1,1,3,2,1
112564,1,1,3,1,9,232,19,9,299,283,476,4,4,6,3,2,2,5,2
141874,1,1,4,3,7,373,23,7,126,232,1127,1,1,1,3,2,3,3,2
116916,1,1,3,1,5,109,1126,5,107,520,3329,4,4,1,1,1,2,3,1
82647,2,1,1,3,14,40,54,14,40,270,446,3,20,1,1,1,3,2,2
61262,2,1,3,3,14,51,54,14,52,52,56,6,6,2,1,1,2,3,1
149131,2,1,3,1,20,434,460,20,228,174,962,15,32,1,4,2,4,2,2
136781,2,1,3,3,11,295,130,11,295,279,468,3,38,1,1,1,2,2,2
73325,2,1,3,3,12,161,157,12,174,201,1487,3,20,1,1,1,3,3,1
36735,2,1,1,3,4,430,377,4,421,489,5073,3,20,1,1,1,4,3,1
135463,2,1,4,3,3,9,13,3,9,9,1851,4,4,1,1,1,4,3,2
134732,2,1,3,5,24,486,87,23,481,501,2201,18,108,1,1,1,2,3,2
109406,1,1,4,1,19,211,264,19,207,61,2050,11,30,1,3,2,2,3,2
80386,2,1,1,3,6,12,153,6,12,8,1241,3,3,1,1,1,4,2,1
69820,2,1,4,3,8,326,115,8,202,33,554,12,17,1,1,1,3,3,1
36224,2,1,4,1,6,131,87,6,128,50,1215,6,41,1,1,1,3,3,2
106352,1,1,2,3,4,273,498,4,273,465,4162,1,8,1,1,1,4,2,1
23898,2,1,1,3,5,66,73,5,65,67,3507,3,9,1,1,1,3,2,1
98339,2,1,3,1,4,385,346,4,288,272,867,3,9,1,1,2,2,3,2
1458,2,1,3,3,3,3,153,3,3,3,1061,15,32,1,1,1,3,2,1
124569,1,1,3,1,14,311,849,14,312,348,3730,1,24,1,1,1,5,5,2
125521,1,1,4,3,8,343,91,8,342,318,597,27,126,1,1,1,6,5,1
65120,1,1,4,3,5,56,2141,5,103,100,6967,1,1,1,1,1,4,3,1
111474,2,1,3,4,19,60,643,19,60,61,1534,6,41,2,3,2,5,3,2
134387,1,1,4,3,3,158,43,3,280,41,432,11,30,8,1,1,3,2,1
136271,2,1,1,3,6,140,10,6,137,22,4225,3,9,1,1,1,2,4,1
63304,1,1,1,1,11,547,157,11,538,472,1926,3,45,1,1,1,3,3,1
51317,1,1,3,3,20,113,1530,20,110,174,4748,7,52,1,3,2,4,2,2
124789,2,1,1,3,1,114,136,1,111,108,1469,5,5,1,1,1,3,2,1
137373,1,1,1,3,4,473,498,4,465,418,3364,1,8,1,1,1,2,5,2
61363,1,1,1,3,5,109,341,5,107,520,3818,1,1,1,1,1,2,2,2
130362,1,1,3,4,5,435,11,5,424,390,964,11,30,1,1,1,4,6,1
115500,1,1,4,3,3,3,132,3,3,3,171,1,1,5,1,1,6,5,2
126421,2,1,3,7,15,96,432,15,93,429,5360,3,9,2,2,2,3,5,2
74958,1,1,1,3,16,98,34,16,94,436,3126,6,6,1,4,2,2,3,2
20727,2,1,3,5,13,76,35,13,74,459,36,24,67,1,1,1,3,2,2
98839,1,1,1,3,6,330,99,6,189,183,260,2,2,1,4,2,2,3,2
86035,1,1,4,7,15,45,496,15,46,45,1544,6,6,5,3,2,4,3,2
126020,1,1,3,1,18,632,308,18,596,364,587,1,8,1,1,1,5,2,1
106772,2,1,3,3,12,267,23,12,268,201,854,6,6,1,1,1,3,3,1
114365,1,1,3,1,1,65,14,1,64,66,2112,1,8,1,1,1,2,2,2
38395,1,1,3,3,15,107,432,15,104,101,1107,5,5,1,3,2,3,3,2
64617,1,1,3,3,9,162,167,9,159,166,232,1,1,1,1,1,4,3,1
44640,2,1,1,3,8,230,65,8,233,88,339,12,17,2,1,1,3,2,1
15440,2,1,4,3,13,122,59,13,118,115,2824,1,24,1,1,1,6,3,1
70715,1,1,3,4,6,330,8,6,189,183,4488,4,7,1,1,1,4,3,2
149476,2,1,1,1,5,294,283,5,279,266,2547,5,22,1,1,1,4,3,1
4457,1,1,3,3,12,48,379,12,171,48,2527,7,11,1,1,1,3,2,1
85931,1,1,3,4,6,140,337,6,137,133,6408,7,47,1,1,1,5,2,1
96809,2,1,4,3,11,383,54,11,377,351,3224,5,77,1,1,1,2,3,1
35534,1,1,3,3,11,381,436,3,53,53,3672,1,1,1,1,1,4,1,2
25661,2,1,1,3,5,11,341,5,11,375,5030,1,1,1,4,2,5,2,2
81620,1,1,4,4,15,195,1310,15,192,186,4023,3,9,1,1,1,4,3,2
50407,2,1,4,1,8,206,65,8,203,196,1593,28,63,1,1,1,7,2,2
91624,2,1,1,3,8,432,335,8,422,74,2897,3,20,2,1,1,3,3,1
144292,1,1,1,3,13,579,53,13,74,180,965,7,52,1,1,1,3,3,2
102548,1,1,2,1,9,436,59,9,425,391,966,4,4,1,1,1,2,2,2
126254,1,1,2,3,6,131,392,6,128,50,806,4,70,1,1,1,3,5,1
121830,2,1,1,3,1,428,311,1,341,317,596,9,35,4,1,1,2,3,2
102236,2,1,1,3,13,34,246,13,34,103,410,5,42,1,1,1,3,2,1
87681,1,1,4,3,3,133,283,3,90,64,2266,7,47,1,1,1,4,2,2
1127,1,1,1,5,8,36,341,8,36,36,935,1,1,1,1,1,5,3,1
113668,2,1,4,3,7,274,30,7,274,232,420,3,20,1,1,1,3,3,2
143809,2,1,3,4,4,143,140,4,480,430,6147,14,136,1,1,1,2,3,1
2536,2,1,3,3,16,82,157,16,80,81,490,3,9,1,1,1,3,3,1
32513,2,1,1,5,13,189,1179,13,82,384,3513,2,15,1,3,2,3,2,2
27430,2,1,1,3,6,22,45,6,22,22,1611,18,37,1,1,1,4,3,1
12323,2,2,1,3,5,495,293,5,255,247,1726,13,85,1,4,2,5,3,2
4254,2,1,1,3,6,520,12,6,205,199,350,3,9,1,1,1,4,5,2
120637,1,1,3,3,4,185,178,4,183,176,4505,5,66,1,1,1,6,5,1
140286,2,4,3,1,5,252,588,5,190,334,1347,13,176,1,1,1,4,2,2
15574,2,1,4,1,6,542,440,6,534,172,2385,3,93,1,3,2,3,3,2
102681,1,1,4,1,23,194,38,22,191,185,313,6,41,1,1,1,3,3,1
66847,2,1,3,3,3,169,97,3,167,3,5321,4,4,2,1,1,4,3,1
42859,1,1,1,3,6,25,392,6,128,50,3796,7,11,1,1,1,3,2,2
64694,1,1,1,3,5,259,736,5,179,171,2008,4,4,1,1,1,2,2,2
78617,1,1,3,3,4,132,346,4,129,125,662,3,20,1,1,1,3,5,1
125867,1,1,1,3,11,578,1355,11,270,260,4187,30,99,2,1,1,7,2,2
95045,2,1,3,4,8,245,11,8,247,237,832,3,3,1,1,1,3,4,1
148198,1,1,1,3,4,363,130,4,362,337,861,1,1,1,2,2,4,5,2
48428,1,1,3,1,24,519,19,23,503,451,1454,6,55,1,1,1,3,3,2
103264,1,1,1,3,8,80,34,8,78,79,295,6,6,1,3,2,4,3,2
88743,2,1,1,3,11,295,130,11,295,279,2956,5,5,1,1,1,2,3,2
95915,1,1,1,3,4,514,219,4,352,401,3845,7,10,1,1,1,5,2,1
85230,1,1,1,3,5,56,147,5,103,191,4991,5,5,2,1,1,3,3,1
59847,1,1,3,4,9,277,297,9,429,506,2920,7,47,2,1,1,3,2,1
102902,1,1,3,1,20,316,19,20,113,110,142,6,55,1,2,2,2,3,2
6417,1,1,3,4,4,420,5,4,413,382,5,22,57,1,1,1,7,3,1
56584,2,1,4,3,3,124,49,3,120,230,2688,14,136,1,1,1,4,3,1
16432,2,1,3,3,3,3,59,3,3,3,762,4,4,1,1,1,2,3,1
143328,1,1,3,4,8,318,11,8,319,301,524,3,39,1,3,2,3,5,2
35324,1,1,3,1,19,317,30,19,318,300,522,1,59,1,2,2,4,2,2
129112,2,1,4,3,22,155,866,25,153,148,2270,23,63,1,1,1,3,2,1
20639,2,1,1,3,16,82,89,16,80,81,1078,5,5,1,1,1,2,3,2
81766,1,1,3,3,23,460,602,22,454,519,3179,25,73,1,3,2,4,6,2
125250,1,1,3,1,18,288,142,18,426,263,968,1,1,6,1,1,7,3,2
111115,2,1,1,1,22,155,45,25,153,148,732,3,19,14,1,1,3,2,1
78366,2,1,3,3,3,52,1382,3,53,53,4290,23,63,1,1,1,4,2,2
91128,2,1,3,4,12,30,1598,12,30,30,5019,3,19,13,1,1,3,3,1
100867,2,1,3,3,5,7,763,5,7,7,1937,11,16,1,1,1,2,3,2
142891,1,1,3,5,20,434,375,20,495,174,1391,1,1,1,1,1,4,2,1
54361,2,1,2,3,8,343,65,8,403,423,1209,3,38,9,1,1,2,3,2
90670,2,1,1,3,24,463,38,23,456,105,1104,20,51,1,1,1,2,2,1
68107,2,1,1,3,4,229,377,4,236,500,6550,3,9,1,1,1,3,3,2
24346,1,1,3,1,6,332,882,6,330,310,5770,8,28,1,1,1,5,5,1
64399,1,1,1,1,14,484,481,14,476,427,1717,28,148,1,1,1,2,2,2
11050,1,1,1,3,6,12,56,6,12,12,60,5,5,1,1,1,3,3,1
23651,2,1,3,3,14,241,1764,14,243,233,5699,6,6,6,1,1,3,2,1
35740,2,1,4,3,5,101,341,5,190,184,1001,3,45,1,1,1,4,5,2
106354,1,1,1,3,14,197,47,14,47,46,48,1,24,21,1,1,3,2,1
43630,2,1,3,4,15,314,200,15,317,101,4827,24,67,1,1,1,3,2,1
60104,1,1,2,1,32,613,89,32,611,338,786,1,1,1,2,2,3,2,2
4166,1,1,1,3,8,214,81,8,211,204,1845,1,8,1,1,1,6,2,1
139747,2,1,3,1,14,479,54,14,471,424,2461,6,41,1,1,1,2,2,1
108627,1,1,1,1,8,389,387,8,384,99,757,5,5,1,3,2,2,3,2
130841,2,1,1,3,11,242,64,11,244,234,358,5,66,2,1,1,2,3,1
73120,1,1,3,4,9,218,169,9,429,517,3568,21,53,1,1,1,2,5,1
144846,1,1,3,4,15,110,392,15,101,98,769,6,6,1,1,1,2,3,1
98907,2,1,1,3,6,22,273,6,137,133,4363,15,32,1,1,1,4,3,1
107257,1,1,1,3,8,300,265,8,301,89,817,9,13,6,1,1,5,3,1
7309,1,1,3,4,3,78,501,3,76,6,1321,3,9,2,1,1,3,5,1
66362,2,1,1,3,14,400,1294,14,399,270,3966,24,67,1,3,2,4,2,2
105181,2,1,3,1,18,286,142,18,285,271,447,12,17,1,1,1,1,2,2
109289,1,1,1,1,11,547,1123,11,538,472,3311,5,5,1,3,2,2,2,2
30479,2,1,1,5,23,204,602,22,201,195,4319,5,42,1,1,1,3,3,2
117320,1,1,3,3,3,6,835,3,6,6,2881,30,175,14,3,2,2,2,2
101187,2,1,1,4,6,22,1112,6,22,22,3276,3,44,1,1,1,6,2,2
51892,1,1,3,3,13,189,1179,13,82,384,3513,4,4,9,1,1,4,3,2
72715,1,1,1,3,6,12,514,6,12,12,1103,1,1,1,1,1,4,2,2
133101,1,1,2,4,11,341,335,11,339,315,3440,17,31,1,1,1,3,3,1
25150,1,1,1,3,18,251,130,18,253,242,3839,1,1,1,1,1,4,5,1
87812,1,1,1,1,4,112,5,4,109,106,137,1,1,1,1,1,4,2,2
75160,2,1,4,7,15,207,156,15,239,186,4431,14,27,1,1,1,4,2,2
69388,2,1,4,1,13,189,59,13,187,384,930,3,3,1,1,1,2,3,1
99672,2,1,3,3,25,117,113,24,114,111,144,10,56,1,4,2,2,2,2
124139,2,1,3,3,6,83,517,6,81,192,1123,23,63,1,1,1,2,2,2
78957,1,1,1,3,5,43,699,5,44,75,1728,17,31,1,1,1,3,3,2
93772,1,1,3,5,25,224,211,24,224,198,327,1,1,1,1,1,4,2,2
48061,1,1,4,1,4,302,1553,4,513,457,4844,9,35,8,3,2,4,5,2
127962,2,1,1,1,8,94,87,8,162,157,214,18,37,1,3,2,3,4,2
